date,Usage_kWh,Lagging_Reactive_Power_kVarh,Leading_Reactive_Power_kVarh,CO2,Lagging_Power_Factor,Leading_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-12-02 14:00:00,104.69,46.94,0.0,0.05,91.25,100.0,50400,0,1,2
2018-12-02 14:15:00,65.92,22.0,0.0,0.03,94.86,100.0,51300,0,1,2
2018-12-02 14:30:00,55.91,13.61,0.0,0.03,97.16,100.0,52200,0,1,2
2018-12-02 14:45:00,51.73,11.63,0.0,0.02,97.56,100.0,53100,0,1,2
2018-12-02 15:00:00,48.46,5.62,0.04,0.02,99.33,100.0,54000,0,1,2
2018-12-02 15:15:00,64.84,16.67,0.04,0.03,96.85,100.0,54900,0,1,2
2018-12-02 15:30:00,58.5,15.37,0.04,0.03,96.72,100.0,55800,0,1,2
2018-12-02 15:45:00,51.52,6.66,0.29,0.02,99.17,100.0,56700,0,1,2
2018-12-02 16:00:00,69.66,21.49,0.07,0.03,95.56,100.0,57600,0,1,2
2018-12-02 16:15:00,50.0,3.42,0.76,0.02,99.77,99.99,58500,0,1,2
2018-12-02 16:30:00,50.9,4.93,1.19,0.02,99.53,99.97,59400,0,1,2
2018-12-02 16:45:00,60.62,8.68,0.43,0.03,98.99,100.0,60300,0,1,2
2018-12-02 17:00:00,67.5,22.14,0.04,0.03,95.02,100.0,61200,0,1,2
2018-12-02 17:15:00,59.15,17.93,0.0,0.03,95.7,100.0,62100,0,1,1
2018-12-02 17:30:00,66.71,21.53,0.0,0.03,95.17,100.0,63000,0,1,1
2018-12-02 17:45:00,62.71,16.56,0.0,0.03,96.69,100.0,63900,0,1,1
2018-12-02 18:00:00,52.24,11.52,0.18,0.02,97.65,100.0,64800,0,1,1
2018-12-02 18:15:00,42.34,14.04,0.18,0.02,94.92,100.0,65700,0,1,1
2018-12-02 18:30:00,36.94,11.27,0.0,0.02,95.65,100.0,66600,0,1,1
2018-12-02 18:45:00,33.91,2.63,8.53,0.02,99.7,96.98,67500,0,1,1
2018-12-02 19:00:00,30.96,0.0,12.42,0.01,100.0,92.81,68400,0,1,1
2018-12-02 19:15:00,32.08,0.04,10.4,0.01,100.0,95.13,69300,0,1,1
2018-12-02 19:30:00,35.06,0.04,8.53,0.02,100.0,97.17,70200,0,1,1
2018-12-02 19:45:00,34.81,0.0,8.68,0.02,100.0,97.03,71100,0,1,1
2018-12-02 20:00:00,34.78,0.0,8.6,0.02,100.0,97.08,72000,0,1,1
2018-12-02 20:15:00,34.81,0.0,8.71,0.02,100.0,97.01,72900,0,1,2
2018-12-02 20:30:00,36.14,0.32,7.02,0.02,100.0,98.17,73800,0,1,2
2018-12-02 20:45:00,34.85,0.04,8.46,0.02,100.0,97.18,74700,0,1,2
2018-12-02 21:00:00,34.92,0.0,8.42,0.02,100.0,97.21,75600,0,1,2
2018-12-02 21:15:00,34.96,0.0,7.96,0.02,100.0,97.5,76500,0,1,2
2018-12-02 21:30:00,35.06,0.0,7.81,0.02,100.0,97.61,77400,0,1,2
2018-12-02 21:45:00,35.17,0.0,7.63,0.02,100.0,97.73,78300,0,1,2
2018-12-02 22:00:00,34.85,0.0,7.56,0.02,100.0,97.73,79200,0,1,2
2018-12-02 22:15:00,32.69,9.07,4.39,0.01,96.36,99.11,80100,0,1,1
2018-12-02 22:30:00,33.16,23.69,0.0,0.02,81.37,100.0,81000,0,1,1
2018-12-02 22:45:00,33.37,23.76,0.0,0.02,81.46,100.0,81900,0,1,1
2018-12-02 23:00:00,33.01,23.04,0.0,0.02,82.0,100.0,82800,0,1,1
2018-12-02 23:15:00,33.8,23.44,0.0,0.02,82.17,100.0,83700,0,1,0
2018-12-02 23:30:00,35.03,25.85,0.0,0.02,80.46,100.0,84600,0,1,0
2018-12-02 23:45:00,57.74,33.84,0.0,0.03,86.27,100.0,85500,0,1,0
2018-12-03 00:00:00,4.46,6.12,0.0,0.0,58.9,100.0,0,0,1,0
2018-12-03 00:15:00,3.78,4.79,0.0,0.0,61.95,100.0,900,0,1,0
2018-12-03 00:30:00,3.89,5.0,0.0,0.0,61.4,100.0,1800,0,1,0
2018-12-03 00:45:00,3.89,5.11,0.0,0.0,60.57,100.0,2700,0,1,0
2018-12-03 01:00:00,3.85,5.08,0.0,0.0,60.4,100.0,3600,0,1,0
2018-12-03 01:15:00,3.82,5.04,0.0,0.0,60.4,100.0,4500,0,1,0
2018-12-03 01:30:00,3.89,5.47,0.0,0.0,57.95,100.0,5400,0,1,0
2018-12-03 01:45:00,3.92,5.4,0.0,0.0,58.75,100.0,6300,0,1,0
2018-12-03 02:00:00,3.89,5.26,0.0,0.0,59.46,100.0,7200,0,1,0
2018-12-03 02:15:00,3.89,5.22,0.0,0.0,59.75,100.0,8100,0,1,0
2018-12-03 02:30:00,3.85,5.15,0.0,0.0,59.88,100.0,9000,0,1,0
2018-12-03 02:45:00,3.82,5.08,0.0,0.0,60.1,100.0,9900,0,1,0
2018-12-03 03:00:00,3.92,5.15,0.0,0.0,60.57,100.0,10800,0,1,0
2018-12-03 03:15:00,3.85,5.22,0.0,0.0,59.36,100.0,11700,0,1,0
2018-12-03 03:30:00,3.89,5.22,0.0,0.0,59.75,100.0,12600,0,1,0
2018-12-03 03:45:00,3.38,4.14,0.0,0.0,63.24,100.0,13500,0,1,0
2018-12-03 04:00:00,3.17,3.64,0.0,0.0,65.67,100.0,14400,0,1,0
2018-12-03 04:15:00,3.24,3.53,0.0,0.0,67.62,100.0,15300,0,1,0
2018-12-03 04:30:00,3.13,3.46,0.0,0.0,67.09,100.0,16200,0,1,0
2018-12-03 04:45:00,3.17,3.46,0.0,0.0,67.55,100.0,17100,0,1,0
2018-12-03 05:00:00,3.13,3.46,0.0,0.0,67.09,100.0,18000,0,1,0
2018-12-03 05:15:00,3.2,3.46,0.0,0.0,67.9,100.0,18900,0,1,0
2018-12-03 05:30:00,3.17,3.38,0.0,0.0,68.41,100.0,19800,0,1,0
2018-12-03 05:45:00,3.1,3.24,0.0,0.0,69.13,100.0,20700,0,1,0
2018-12-03 06:00:00,3.13,3.17,0.0,0.0,70.26,100.0,21600,0,1,0
2018-12-03 06:15:00,3.1,3.24,0.0,0.0,69.13,100.0,22500,0,1,0
2018-12-03 06:30:00,3.13,3.17,0.0,0.0,70.26,100.0,23400,0,1,0
2018-12-03 06:45:00,3.74,4.39,0.0,0.0,64.85,100.0,24300,0,1,0
2018-12-03 07:00:00,3.46,3.89,0.0,0.0,66.46,100.0,25200,0,1,0
2018-12-03 07:15:00,3.74,3.64,0.0,0.0,71.66,100.0,26100,0,1,0
2018-12-03 07:30:00,4.07,3.96,0.0,0.0,71.67,100.0,27000,0,1,0
2018-12-03 07:45:00,4.36,4.68,0.0,0.0,68.16,100.0,27900,0,1,0
2018-12-03 08:00:00,4.36,4.82,0.0,0.0,67.08,100.0,28800,0,1,0
2018-12-03 08:15:00,42.62,35.14,0.0,0.02,77.16,100.0,29700,0,1,0
2018-12-03 08:30:00,87.3,59.51,0.0,0.04,82.63,100.0,30600,0,1,0
2018-12-03 08:45:00,109.94,69.12,0.0,0.05,84.66,100.0,31500,0,1,0
2018-12-03 09:00:00,87.41,36.14,0.0,0.04,92.41,100.0,32400,0,1,0
2018-12-03 09:15:00,58.39,19.12,0.0,0.03,95.03,100.0,33300,0,1,2
2018-12-03 09:30:00,56.77,15.19,0.0,0.03,96.6,100.0,34200,0,1,2
2018-12-03 09:45:00,71.35,15.84,0.0,0.03,97.62,100.0,35100,0,1,2
2018-12-03 10:00:00,58.21,16.09,0.0,0.03,96.39,100.0,36000,0,1,2
2018-12-03 10:15:00,52.99,8.86,0.18,0.02,98.63,100.0,36900,0,1,1
2018-12-03 10:30:00,49.61,4.97,0.36,0.02,99.5,100.0,37800,0,1,1
2018-12-03 10:45:00,44.06,1.12,0.76,0.02,99.97,99.99,38700,0,1,1
2018-12-03 11:00:00,54.43,9.65,0.04,0.02,98.46,100.0,39600,0,1,1
2018-12-03 11:15:00,52.42,25.38,0.0,0.02,90.01,100.0,40500,0,1,1
2018-12-03 11:30:00,77.29,35.39,0.0,0.04,90.92,100.0,41400,0,1,1
2018-12-03 11:45:00,94.54,41.65,0.0,0.04,91.51,100.0,42300,0,1,1
2018-12-03 12:00:00,73.22,35.32,0.0,0.03,90.07,100.0,43200,0,1,1
2018-12-03 12:15:00,38.63,8.35,1.22,0.02,97.74,99.95,44100,0,1,2
2018-12-03 12:30:00,34.38,1.22,0.72,0.02,99.94,99.98,45000,0,1,2
2018-12-03 12:45:00,31.72,0.47,5.76,0.01,99.99,98.39,45900,0,1,2
2018-12-03 13:00:00,30.24,0.0,7.56,0.01,100.0,97.01,46800,0,1,2
2018-12-03 13:15:00,65.95,13.9,0.79,0.03,97.85,99.99,47700,0,1,1
2018-12-03 13:30:00,89.53,22.75,0.0,0.04,96.92,100.0,48600,0,1,1
2018-12-03 13:45:00,78.55,18.32,0.0,0.04,97.39,100.0,49500,0,1,1
2018-12-03 14:00:00,89.57,20.95,0.0,0.04,97.37,100.0,50400,0,1,1
2018-12-03 14:15:00,96.48,31.72,0.0,0.04,95.0,100.0,51300,0,1,1
2018-12-03 14:30:00,77.33,18.5,0.0,0.04,97.26,100.0,52200,0,1,1
2018-12-03 14:45:00,83.56,21.28,0.0,0.04,96.91,100.0,53100,0,1,1
2018-12-03 15:00:00,87.26,22.25,0.0,0.04,96.9,100.0,54000,0,1,1
2018-12-03 15:15:00,82.55,16.88,0.0,0.04,97.97,100.0,54900,0,1,1
2018-12-03 15:30:00,52.45,11.84,0.0,0.02,97.55,100.0,55800,0,1,1
2018-12-03 15:45:00,62.71,24.05,0.0,0.03,93.37,100.0,56700,0,1,1
2018-12-03 16:00:00,73.87,26.1,0.0,0.03,94.29,100.0,57600,0,1,1
2018-12-03 16:15:00,82.48,22.46,0.07,0.04,96.49,100.0,58500,0,1,1
2018-12-03 16:30:00,75.1,21.53,0.0,0.03,96.13,100.0,59400,0,1,1
2018-12-03 16:45:00,91.15,25.09,0.0,0.04,96.41,100.0,60300,0,1,1
2018-12-03 17:00:00,89.6,23.72,0.0,0.04,96.67,100.0,61200,0,1,1
2018-12-03 17:15:00,76.79,23.98,0.0,0.04,95.45,100.0,62100,0,1,2
2018-12-03 17:30:00,69.88,20.09,0.0,0.03,96.11,100.0,63000,0,1,2
2018-12-03 17:45:00,43.85,4.46,0.29,0.02,99.49,100.0,63900,0,1,2
2018-12-03 18:00:00,32.47,0.32,4.36,0.01,100.0,99.11,64800,0,1,2
2018-12-03 18:15:00,34.78,18.07,0.5,0.02,88.74,99.99,65700,0,1,2
2018-12-03 18:30:00,48.49,30.28,0.0,0.02,84.82,100.0,66600,0,1,2
2018-12-03 18:45:00,46.55,14.47,0.0,0.02,95.49,100.0,67500,0,1,2
2018-12-03 19:00:00,38.45,5.87,0.0,0.02,98.85,100.0,68400,0,1,2
2018-12-03 19:15:00,36.68,4.93,0.0,0.02,99.11,100.0,69300,0,1,2
2018-12-03 19:30:00,36.86,4.32,0.0,0.02,99.32,100.0,70200,0,1,2
2018-12-03 19:45:00,54.43,16.49,0.0,0.02,95.7,100.0,71100,0,1,2
2018-12-03 20:00:00,39.85,6.41,0.0,0.02,98.73,100.0,72000,0,1,2
2018-12-03 20:15:00,38.05,4.57,0.04,0.02,99.29,100.0,72900,0,1,2
2018-12-03 20:30:00,46.12,9.43,0.0,0.02,97.97,100.0,73800,0,1,2
2018-12-03 20:45:00,49.79,12.42,0.0,0.02,97.03,100.0,74700,0,1,2
2018-12-03 21:00:00,28.37,2.16,7.52,0.01,99.71,96.66,75600,0,1,2
2018-12-03 21:15:00,8.46,0.0,22.72,0.0,100.0,34.9,76500,0,1,2
2018-12-03 21:30:00,8.17,0.0,23.0,0.0,100.0,33.47,77400,0,1,2
2018-12-03 21:45:00,7.92,0.0,23.62,0.0,100.0,31.79,78300,0,1,2
2018-12-03 22:00:00,7.16,0.0,24.26,0.0,100.0,28.31,79200,0,1,2
2018-12-03 22:15:00,4.82,2.56,14.15,0.0,88.32,32.24,80100,0,1,2
2018-12-03 22:30:00,4.61,7.06,0.0,0.0,54.67,100.0,81000,0,1,2
2018-12-03 22:45:00,4.57,7.09,0.0,0.0,54.18,100.0,81900,0,1,2
2018-12-03 23:00:00,4.61,7.02,0.0,0.0,54.89,100.0,82800,0,1,2
2018-12-03 23:15:00,4.5,6.34,0.0,0.0,57.88,100.0,83700,0,1,0
2018-12-03 23:30:00,4.46,6.05,0.0,0.0,59.34,100.0,84600,0,1,0
2018-12-03 23:45:00,4.5,6.16,0.0,0.0,58.99,100.0,85500,0,1,0
2018-12-04 00:00:00,4.1,6.26,0.0,0.0,54.79,100.0,0,0,4,0
2018-12-04 00:15:00,3.67,5.29,0.0,0.0,57.0,100.0,900,0,4,0
2018-12-04 00:30:00,3.67,5.29,0.0,0.0,57.0,100.0,1800,0,4,0
2018-12-04 00:45:00,3.64,4.97,0.0,0.0,59.09,100.0,2700,0,4,0
